TimeStep	 Blip Population	 Blip Speed	 Blip Vision	  Predator Population	 Predator Speed	 Predator Vision
411	559	1,578606	6,062991	0	0	0
412	558	1,58315	6,059413	0	0	0
413	556	1,583618	6,053971	0	0	0
414	553	1,581493	6,063458	0	0	0
415	549	1,58389	6,060878	0	0	0
416	547	1,581519	6,045877	0	0	0
417	550	1,580285	6,044564	0	0	0
418	547	1,585177	6,043511	0	0	0
419	549	1,584346	6,038938	0	0	0
420	549	1,581148	6,047068	0	0	0
421	548	1,58267	6,034599	0	0	0
422	547	1,581638	6,036828	0	0	0
423	547	1,581375	6,029463	0	0	0
424	552	1,585907	6,01835	0	0	0
425	550	1,582964	6,022218	0	0	0
426	546	1,581857	6,016782	0	0	0
427	544	1,585999	6,001993	0	0	0
428	545	1,586385	6,004731	0	0	0
429	544	1,586205	5,993895	0	0	0
430	545	1,585638	6,001497	0	0	0
431	548	1,583812	6,004714	0	0	0
432	552	1,581972	6,011307	0	0	0
433	556	1,582749	6,000768	0	0	0
434	558	1,580105	5,984252	0	0	0
435	556	1,579728	5,975955	0	0	0
436	558	1,579207	5,984627	0	0	0
437	555	1,57356	5,973822	0	0	0
438	558	1,574075	5,973849	0	0	0
439	562	1,572421	5,967329	0	0	0
440	565	1,576399	5,970318	0	0	0
441	562	1,579228	5,957779	0	0	0
442	562	1,579682	5,961167	0	0	0
443	560	1,580724	5,94164	0	0	0
444	558	1,581055	5,923347	0	0	0
445	558	1,579857	5,924563	0	0	0
446	556	1,580299	5,927153	0	0	0
447	557	1,580471	5,934798	0	0	0
448	556	1,580096	5,917694	0	0	0
449	556	1,582893	5,906393	0	0	0
450	554	1,583524	5,898472	0	0	0
451	555	1,588056	5,896011	0	0	0
452	555	1,582094	5,884685	0	0	0
453	552	1,581647	5,879572	0	0	0
454	549	1,582511	5,885641	0	0	0
455	548	1,586325	5,880385	0	0	0
456	549	1,582587	5,885703	0	0	0
457	550	1,583687	5,881165	0	0	0
458	548	1,587352	5,889462	0	0	0
459	551	1,59054	5,867941	0	0	0
460	552	1,594763	5,869345	0	0	0
461	551	1,596389	5,857118	0	0	0
462	549	1,597879	5,862255	0	0	0
463	549	1,599677	5,86378	0	0	0
464	549	1,60138	5,868514	0	0	0
465	549	1,598716	5,86542	0	0	0
466	555	1,597885	5,861125	0	0	0
467	548	1,594043	5,861613	0	0	0
468	545	1,591847	5,874709	0	0	0
469	547	1,588104	5,870344	0	0	0
470	542	1,587372	5,861169	0	0	0
471	541	1,590265	5,845733	0	0	0
472	544	1,585252	5,844301	0	0	0
473	542	1,586881	5,848984	0	0	0
474	539	1,588475	5,857527	0	0	0
475	541	1,590358	5,860683	0	0	0
476	540	1,591923	5,862239	0	0	0
477	544	1,594241	5,855508	0	0	0
478	539	1,593475	5,852671	0	0	0
479	540	1,597596	5,85328	0	0	0
480	536	1,603866	5,832053	0	0	0
481	537	1,599579	5,837592	0	0	0
482	535	1,60193	5,832025	0	0	0
483	535	1,603432	5,836153	0	0	0
484	537	1,601815	5,833877	0	0	0
485	537	1,596667	5,841808	0	0	0
486	538	1,592402	5,848304	0	0	0
487	537	1,591733	5,83817	0	0	0
488	535	1,592999	5,841299	0	0	0
489	536	1,593379	5,845317	0	0	0
490	538	1,588977	5,8466	0	0	0
491	544	1,589686	5,83845	0	0	0
492	544	1,589763	5,839083	0	0	0
493	537	1,580039	5,835951	0	0	0
494	538	1,582189	5,829057	0	0	0
495	533	1,577764	5,827948	0	0	0
496	532	1,578078	5,817644	0	0	0
497	531	1,576242	5,818417	0	0	0
498	529	1,577632	5,816015	0	0	0
499	536	1,573966	5,811124	0	0	0
500	537	1,576706	5,821613	0	0	0
501	536	1,57459	5,826648	0	0	0
502	532	1,576202	5,823453	0	0	0
503	532	1,575313	5,808535	0	0	0
504	534	1,570914	5,816456	0	0	0
505	528	1,572358	5,827661	0	0	0
506	530	1,574423	5,815634	0	0	0
507	533	1,577608	5,808665	0	0	0
508	534	1,578662	5,812515	0	0	0
509	531	1,57789	5,815137	0	0	0
510	531	1,576616	5,814849	0	0	0
511	531	1,578353	5,791502	0	0	0
512	533	1,57425	5,786812	0	0	0
513	533	1,57109	5,777801	0	0	0
514	534	1,568331	5,7812	0	0	0
515	534	1,565916	5,781344	0	0	0
516	537	1,567969	5,773095	0	0	0
517	538	1,568243	5,771563	0	0	0
518	540	1,568905	5,775261	0	0	0
519	540	1,567522	5,770927	0	0	0
520	540	1,566037	5,774745	0	0	0
521	542	1,562185	5,780489	0	0	0
522	539	1,567803	5,775829	0	0	0
523	542	1,567149	5,773611	0	0	0
524	540	1,567752	5,7637	0	0	0
525	540	1,564376	5,753566	0	0	0
526	543	1,560192	5,750075	0	0	0
527	544	1,562032	5,752775	0	0	0
528	542	1,559414	5,74859	0	0	0
529	538	1,56933	5,734451	0	0	0
530	536	1,561728	5,733842	0	0	0
531	533	1,559793	5,725264	0	0	0
532	530	1,560998	5,734072	0	0	0
533	525	1,560036	5,730136	0	0	0
534	524	1,56704	5,708708	0	0	0
535	523	1,568977	5,706234	0	0	0
536	520	1,570407	5,702346	0	0	0
537	521	1,568143	5,697352	0	0	0
538	525	1,573151	5,701384	0	0	0
539	527	1,571294	5,706182	0	0	0
540	530	1,578534	5,716862	0	0	0
541	532	1,580352	5,723525	0	0	0
542	531	1,580412	5,719841	0	0	0
543	527	1,580168	5,714801	0	0	0
544	530	1,582325	5,706143	0	0	0
545	532	1,583416	5,703269	0	0	0
546	532	1,586503	5,700761	0	0	0
547	534	1,58562	5,698173	0	0	0
548	536	1,592441	5,702889	0	0	0
549	538	1,591597	5,721045	0	0	0
550	538	1,590046	5,721113	0	0	0
551	535	1,592358	5,734894	0	0	0
552	534	1,594968	5,722869	0	0	0
553	533	1,596117	5,723734	0	0	0
554	536	1,592526	5,717262	0	0	0
555	540	1,59213	5,719175	0	0	0
556	542	1,590414	5,715488	0	0	0
557	535	1,58458	5,720697	0	0	0
558	532	1,584834	5,722924	0	0	0
559	527	1,586142	5,731648	0	0	0
560	529	1,586131	5,745168	0	0	0
561	528	1,585677	5,731467	0	0	0
562	527	1,585215	5,724826	0	0	0
563	527	1,588745	5,731706	0	0	0
564	529	1,58673	5,732121	0	0	0
565	529	1,58932	5,719908	0	0	0
566	529	1,59326	5,725521	0	0	0
567	522	1,590242	5,715543	0	0	0
568	523	1,593333	5,712985	0	0	0
569	529	1,593107	5,704542	0	0	0
570	529	1,59424	5,699921	0	0	0
571	534	1,598004	5,695189	0	0	0
572	535	1,595357	5,696644	0	0	0
573	533	1,591515	5,690339	0	0	0
574	534	1,594368	5,6886	0	0	0
575	534	1,597463	5,692777	0	0	0
576	536	1,592403	5,691735	0	0	0
577	536	1,588916	5,685665	0	0	0
578	536	1,59114	5,681716	0	0	0
579	536	1,587739	5,683652	0	0	0
580	537	1,58756	5,686264	0	0	0
581	536	1,586546	5,684642	0	0	0
582	539	1,586318	5,686115	0	0	0
583	542	1,584916	5,698236	0	0	0
584	539	1,585446	5,679361	0	0	0
