TimeStep	 Blip Population	 Blip Speed	 Blip Vision	 Blips Born	 Blips Died	 Predator Population	 Predator Speed	 Predator Vision	 Predators Born	 Predators Died
330	221	1,730797	8,210926	7	5	8	2,782705	8,671694	0	0
331	221	1,725855	8,189467	5	5	8	2,782705	8,671694	0	0
332	219	1,723619	8,217244	5	7	8	2,782705	8,671694	0	0
333	215	1,724141	8,220551	4	8	8	2,782705	8,671694	0	0
334	215	1,72336	8,245634	4	4	8	2,782705	8,671694	0	0
335	218	1,727931	8,260654	4	1	8	2,782705	8,671694	0	0
336	217	1,731944	8,270047	3	4	8	2,782705	8,671694	0	0
337	219	1,731831	8,273829	5	3	8	2,782705	8,671694	0	0
338	222	1,738264	8,240401	8	5	8	2,782705	8,671694	0	0
339	222	1,730585	8,230319	3	3	7	2,728212	8,610038	0	1
340	220	1,731331	8,217768	3	5	7	2,728212	8,610038	0	0
341	221	1,738696	8,230797	7	6	7	2,728212	8,610038	0	0
342	215	1,742025	8,222229	4	10	7	2,728212	8,610038	0	0
343	215	1,748089	8,211856	4	4	7	2,728212	8,610038	0	0
344	210	1,740166	8,181363	1	6	7	2,728212	8,610038	0	0
345	211	1,735864	8,177241	7	6	7	2,728212	8,610038	0	0
346	207	1,741989	8,184497	0	4	7	2,728212	8,610038	0	0
347	209	1,744012	8,165358	3	1	7	2,728212	8,610038	0	0
348	214	1,745938	8,125255	7	2	7	2,728212	8,610038	0	0
349	216	1,745393	8,136012	3	1	7	2,728212	8,610038	0	0
350	220	1,738497	8,109934	6	2	7	2,728212	8,610038	0	0
351	220	1,739026	8,131502	5	5	7	2,728212	8,610038	0	0
352	222	1,739738	8,179937	5	3	7	2,728212	8,610038	0	0
353	226	1,743477	8,171886	7	3	8	2,682715	8,751022	1	0
354	224	1,747512	8,181307	5	7	8	2,682715	8,751022	0	0
355	224	1,753429	8,16219	3	3	8	2,682715	8,751022	0	0
356	223	1,753023	8,162081	4	5	8	2,682715	8,751022	0	0
357	224	1,754947	8,158319	7	6	8	2,682715	8,751022	0	0
358	224	1,755005	8,157724	6	6	6	2,723887	8,872846	0	2
359	221	1,753682	8,15013	2	5	6	2,723887	8,872846	0	0
360	221	1,764978	8,159849	6	6	6	2,723887	8,872846	0	0
361	217	1,770152	8,171827	1	5	6	2,723887	8,872846	0	0
362	216	1,76803	8,173649	4	5	6	2,723887	8,872846	0	0
363	215	1,772403	8,161813	4	5	6	2,723887	8,872846	0	0
364	216	1,769915	8,168514	4	3	6	2,723887	8,872846	0	0
365	217	1,761858	8,164627	7	6	6	2,723887	8,872846	0	0
366	220	1,765736	8,179096	5	2	6	2,723887	8,872846	0	0
